link_id,src_bus_id,dst_bus_id,voltage,circuits,dc,underground,under_construction,length_m,tags,src_coord,dst_coord,src_country,dst_country,src_x,src_y,dst_x,dst_y
9727,6172,6173,220.0,1,f,t,f,18598.289361,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit  underground'  'ogc_fid'=>'8475'  't9_code'=>'0'  'visible'=>'1'  'tie_line'=>'0'  'country_1'=>'IE',"(-8.17382799999999, 51.842566)","(-8.4375, 51.808615)",IE,,-909906.3707918006,6771709.272222471,-939258.2035682457,6765594.292231115
9519,6188,6198,220.0,1,f,f,f,48178.308519,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'5690'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6366'  'tie_line'=>'0'  'country_1'=>'IE'  'country_2'=>'IE',"(-6.624756, 53.291489)","(-6.679688, 53.703211)",IE,IE,-737464.4645496837,7037098.559885431,-743579.4668179399,7114147.184426849
9500,6193,6198,220.0,1,f,f,f,31641.416533,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'5671'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6345'  'tie_line'=>'0'  'country_1'=>'IE'  'country_2'=>'IE',"(-6.61376999999999, 53.994854)","(-6.679688, 53.703211)",IE,IE,-736241.5086238278,7169181.763432151,-743579.4668179399,7114147.184426849
9520,6194,6199,220.0,1,f,f,f,17218.410675,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'5691'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6367'  'tie_line'=>'0'  'country_1'=>'IE'  'country_2'=>'IE',"(-8.38256799999999, 53.120405)","(-8.59130900000001, 53.206033)",IE,IE,-933143.2012999885,7005300.7157662185,-956380.1431276693,7021199.753507257
9514,6174,6199,220.0,1,f,f,f,23300.746912,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'5685'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6361'  'tie_line'=>'0'  'country_1'=>'IE'  'country_2'=>'IE',"(-8.931885, 53.271783)","(-8.59130900000001, 53.206033)",IE,IE,-994292.8900240782,7033429.505480125,-956380.1431276693,7021199.753507257
9505,6191,6200,220.0,2,f,t,f,11169.770576,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits  underground'  'ogc_fid'=>'5676'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6350'  'tie_line'=>'0'  'country_1'=>'IE'  'country_2'=>'IE',"(-6.43798799999999, 53.389881)","(-6.26220699999999, 53.396432)",IE,IE,-716673.5458932046,7055443.505209369,-697105.6944820723,7056666.427559725
9511,6170,6200,220.0,1,f,t,f,9549.11428,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit  underground'  'ogc_fid'=>'5682'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6358'  'tie_line'=>'0'  'country_1'=>'IE'  'country_2'=>'IE',"(-6.11938500000001, 53.389881)","(-6.26220699999999, 53.396432)",IE,IE,-681206.8221679975,7055443.505209369,-697105.6944820723,7056666.427559725
9523,6172,6201,220.0,1,f,f,f,8723.093809,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'5694'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6370'  'tie_line'=>'0'  'country_1'=>'IE'  'country_2'=>'IE',"(-8.17382799999999, 51.842566)","(-8.085938, 51.903613)",IE,IE,-909906.3707918006,6771709.272222471,-900122.5007459809,6782716.17657593
9726,6171,6201,220.0,2,f,f,f,24540.982607,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'8474'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6354'  'tie_line'=>'0'  'country_1'=>'IE'  'country_2'=>'IE',"(-8.38256799999999, 52.038977)","(-8.085938, 51.903613)",IE,IE,-933143.2012999885,6807176.066415537,-900122.5007459809,6782716.17657593
9748,6170,6202,220.0,1,f,t,f,10695.041304,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit  underground'  'ogc_fid'=>'10456'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6358'  'tie_line'=>'0'  'country_1'=>'IE'  'country_2'=>'IE',"(-6.11938500000001, 53.389881)","(-6.196289, 53.298056)",IE,IE,-681206.8221679975,7055443.505209369,-689767.7362879623,7038321.643676325
9488,6183,6197,220.0,1,f,f,f,27180.360042,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'5659'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6332'  'tie_line'=>'0'  'country_1'=>'IE'  'country_2'=>'IE',"(-6.96533199999999, 52.27488)","(-7.34985400000001, 52.19414)",IE,IE,-775377.2114460927,6849980.703029373,-818182.0046849061,6835304.864299865
9751,6190,6202,220.0,1,f,t,f,16539.224353,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit  underground'  'ogc_fid'=>'10459'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6359'  'tie_line'=>'0'  'country_1'=>'IE'  'country_2'=>'IE',"(-6.21826199999999, 53.14677)","(-6.196289, 53.298056)",IE,IE,-692213.7594591618,7010192.676682686,-689767.7362879623,7038321.643676325
9510,6193,6398,220.0,2,f,f,f,37581.936235,'text_'=>'275'  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'5681'  't9_code'=>'225.1/2.1'  'visible'=>'1'  'objectid'=>'6357'  'tie_line'=>'1'  'country_1'=>'IE'  'country_2'=>'NI',"(-6.61376999999999, 53.994854)","(-6.448975, 54.322931)",IE,NI,-736241.5086238278,7169181.763432151,-717896.6131385515,7231554.344659001
9639,6184,6549,220.0,1,f,f,f,31433.673006,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'7366'  't9_code'=>'0'  'visible'=>'1'  'tie_line'=>'0'  'country_1'=>'IE',"(-6.240234, 52.816043)","(-6.547852, 52.603048)",IE,,-694659.6713108728,6949043.080180641,-728903.550429718,6909907.442443849
