link_id,src_bus_id,dst_bus_id,voltage,circuits,dc,underground,under_construction,length_m,tags,src_coord,dst_coord,src_country,dst_country,src_x,src_y,dst_x,dst_y
9014,6093,6094,132.0,1,f,f,f,85606.056856,'text_'=>' '  'symbol'=>'132-150 kV Transmission Line  1 Circuit'  'ogc_fid'=>'1996'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2171'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-23.148193, 65.789264)","(-21.851807, 65.467386)",IS,IS,-2576845.0575444195,9819406.494284745,-2432532.028152891,9732573.974479511
9015,6107,6127,132.0,1,f,f,f,8526.255555,'text_'=>' '  'symbol'=>'132-150 kV Transmission Line  1 Circuit'  'ogc_fid'=>'1997'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2172'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-22.554932, 63.980781)","(-22.5, 63.908396)",IS,IS,-2510803.5451169116,9344885.39964164,-2504688.5428486555,9326540.387552075
9008,6089,6126,132.0,1,f,f,f,84167.700312,'text_'=>' '  'symbol'=>'132-150 kV Transmission Line  1 Circuit'  'ogc_fid'=>'1990'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2165'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-18.182373, 65.68543)","(-16.896973, 65.703518)",IS,IS,-2024052.5037733656,9791277.516058365,-1880962.430307692,9796169.488823881
9009,6124,6126,132.0,1,f,f,f,137912.85376,'text_'=>' '  'symbol'=>'132-150 kV Transmission Line  1 Circuit'  'ogc_fid'=>'1991'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2166'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-15.172119, 64.914228)","(-16.896973, 65.703518)",IS,IS,-1688952.5613349513,9585814.970830292,-1880962.430307692,9796169.488823881
9013,6098,6124,132.0,1,f,f,f,26730.997512,'text_'=>' '  'symbol'=>'132-150 kV Transmission Line  1 Circuit'  'ogc_fid'=>'1995'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2170'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-14.688721, 65.030423)","(-15.172119, 64.914228)",IS,IS,-1635140.942124464,9616389.626969278,-1688952.5613349513,9585814.970830292
9012,6102,6120,132.0,1,f,f,f,74921.825029,'text_'=>' '  'symbol'=>'132-150 kV Transmission Line  1 Circuit'  'ogc_fid'=>'1994'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2169'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-18.083496, 63.81644)","(-19.248047, 64.177679)",IS,IS,-2013045.5664821996,9303303.493244797,-2142682.7908049966,9395027.908325525
9033,6103,6116,132.0,1,f,f,f,40026.269114,'text_'=>' '  'symbol'=>'132-150 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2016'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2192'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-21.719971, 64.086607)","(-21.049805, 64.081805)",IS,IS,-2417856.111764669,9371791.220330521,-2343253.573897704,9370568.11882608
9034,6127,6128,132.0,1,f,f,f,9487.765121,'text_'=>' '  'symbol'=>'132-150 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2017'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2193'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-22.5, 63.908396)","(-22.302246, 63.903564)",IS,IS,-2504688.5428486555,9326540.387552075,-2482674.6682663225,9325317.467561442
9020,6103,6115,132.0,1,f,f,f,26071.470229,'text_'=>' '  'symbol'=>'132-150 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2002'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2177'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-21.719971, 64.086607)","(-21.236572, 64.187249)",IS,IS,-2417856.111764669,9371791.220330521,-2364044.3812346915,9397474.088158216
9032,6103,6114,132.0,1,f,f,f,10353.579975,'text_'=>' '  'symbol'=>'132-150 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2015'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2191'  'tie_line'=>'0'  'country_1'=>'IS'  'country_2'=>'IS',"(-21.719971, 64.086607)","(-21.708984, 64.177679)",IS,IS,-2417856.111764669,9371791.220330521,-2416633.0445193234,9395027.908325525
