link_id,src_bus_id,dst_bus_id,voltage,circuits,dc,underground,under_construction,length_m,tags,src_coord,dst_coord,src_country,dst_country,src_x,src_y,dst_x,dst_y
4825,3078,3082,220.0,1,f,f,f,15234.671583,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2076'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2259'  'tie_line'=>'0'  'country_1'=>'LU'  'country_2'=>'LU',"(5.976562, 49.482401)","(6.16333000000001, 49.560852)",LU,LU,665307.8385344287,6357114.703607099,686098.7571909078,6370567.650013121
4828,3083,3088,220.0,2,f,f,f,16754.971607,'text_'=>'(65)'  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'2079'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2262'  'tie_line'=>'0'  'country_1'=>'LU'  'country_2'=>'LU',"(6.17431599999999, 49.646291)","(5.94360399999999, 49.617828)",LU,LU,687321.7131167606,6385243.523962454,661638.9707568628,6380351.571393176
4831,3082,3088,220.0,2,f,f,f,16570.84891,'text_'=>'(65)'  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'2082'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2266'  'tie_line'=>'0'  'country_1'=>'LU'  'country_2'=>'LU',"(6.16333000000001, 49.560852)","(5.94360399999999, 49.617828)",LU,LU,686098.7571909078,6370567.650013121,661638.9707568628,6380351.571393176
4822,3081,3087,220.0,2,f,f,f,9835.749062,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'2073'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2256'  'tie_line'=>'0'  'country_1'=>'LU'  'country_2'=>'LU',"(6.03149400000001, 49.539469)","(5.89965800000001, 49.560852)",LU,LU,671422.8408026858,6366898.706680776,656746.9244144639,6370567.650013121
4829,3078,3087,220.0,1,f,f,f,10050.248948,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2080'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2263'  'tie_line'=>'0'  'country_1'=>'LU'  'country_2'=>'LU',"(5.976562, 49.482401)","(5.89965800000001, 49.560852)",LU,LU,665307.8385344287,6357114.703607099,656746.9244144639,6370567.650013121
4640,2645,3086,220.0,1,f,f,f,12152.939771,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'1852'  't9_code'=>'191.3.1'  'visible'=>'1'  'objectid'=>'1993'  'tie_line'=>'1'  'country_1'=>'DE'  'country_2'=>'LU',"(6.26220699999999, 49.993615)","(6.17431599999999, 49.887557)",DE,LU,697105.6944820723,6445170.144912723,687321.7131167606,6426825.418344943
4827,3085,3086,220.0,1,f,f,f,12669.417784,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2078'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2261'  'tie_line'=>'0'  'country_1'=>'LU'  'country_2'=>'LU',"(6.108398, 49.781264)","(6.17431599999999, 49.887557)",LU,LU,679983.7549226508,6408480.441399272,687321.7131167606,6426825.418344943
4824,3087,4361,220.0,2,f,f,f,15625.042802,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'2075'  't9_code'=>'41.1.1/2'  'visible'=>'1'  'objectid'=>'2258'  'tie_line'=>'1'  'country_1'=>'BE'  'country_2'=>'LU',"(5.89965800000001, 49.560852)","(5.701904, 49.624946)",BE,LU,656746.9244144639,6370567.650013121,634733.0498321297,6381574.678219927
4832,2645,3085,220.0,2,f,f,f,26354.180634,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'2083'  't9_code'=>'191.4.1'  'visible'=>'1'  'objectid'=>'2267'  'tie_line'=>'1'  'country_1'=>'DE'  'country_2'=>'LU',"(6.26220699999999, 49.993615)","(6.108398, 49.781264)",DE,LU,697105.6944820723,6445170.144912723,679983.7549226508,6408480.441399272
4544,2645,3084,220.0,2,f,f,f,14289.423953,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'1756'  't9_code'=>'191.2.1/2'  'visible'=>'1'  'objectid'=>'1884'  'tie_line'=>'1'  'country_1'=>'DE'  'country_2'=>'LU',"(6.26220699999999, 49.993615)","(6.053467, 49.993615)",DE,LU,697105.6944820723,6445170.144912723,673868.8639738854,6445170.144912723
4384,2646,3084,220.0,2,f,f,f,34983.312597,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'1596'  't9_code'=>'191.1.1/2'  'visible'=>'1'  'objectid'=>'1708'  'tie_line'=>'1'  'country_1'=>'DE'  'country_2'=>'LU',"(6.52587899999999, 49.965356)","(6.053467, 49.993615)",DE,LU,726457.5272585162,6440278.270786044,673868.8639738854,6445170.144912723
4830,3079,3083,220.0,2,f,f,f,9278.115069,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'2081'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2264'  'tie_line'=>'0'  'country_1'=>'LU'  'country_2'=>'LU',"(6.26220699999999, 49.710273)","(6.17431599999999, 49.646291)",LU,LU,697105.6944820723,6396250.598842872,687321.7131167606,6385243.523962454
4826,3082,3083,220.0,2,f,f,f,9189.423339,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'2077'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2260'  'tie_line'=>'0'  'country_1'=>'LU'  'country_2'=>'LU',"(6.16333000000001, 49.560852)","(6.17431599999999, 49.646291)",LU,LU,686098.7571909078,6370567.650013121,687321.7131167606,6385243.523962454
8594,3081,3082,220.0,1,f,f,f,9086.723072,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'7770'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2259'  'tie_line'=>'0'  'country_1'=>'LU'  'country_2'=>'LU',"(6.03149400000001, 49.539469)","(6.16333000000001, 49.560852)",LU,LU,671422.8408026858,6366898.706680776,686098.7571909078,6370567.650013121
4823,3080,3082,220.0,2,f,f,f,12817.362232,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'2074'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2257'  'tie_line'=>'0'  'country_1'=>'LU'  'country_2'=>'LU',"(6.30615199999999, 49.632062)","(6.16333000000001, 49.560852)",LU,LU,701997.6295049826,6382797.62001637,686098.7571909078,6370567.650013121
8402,3079,3085,220.0,2,f,f,f,12997.968352,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'7444'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2261'  'tie_line'=>'0'  'country_1'=>'LU'  'country_2'=>'LU',"(6.26220699999999, 49.710273)","(6.108398, 49.781264)",LU,LU,697105.6944820723,6396250.598842872,679983.7549226508,6408480.441399272
7450,4990,6008,220.0,1,f,f,f,21060.19062,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'6097'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6787'  'tie_line'=>'1'  'country_1'=>'FR'  'country_2'=>'LU',"(5.84472700000001, 49.37522)","(6.064453, 49.482401)",FR,LU,650632.0334656986,6338769.867709917,675091.8198997403,6357114.703607099
