link_id,src_bus_id,dst_bus_id,voltage,circuits,dc,underground,under_construction,length_m,tags,src_coord,dst_coord,src_country,dst_country,src_x,src_y,dst_x,dst_y
6563,5398,5399,220.0,1,f,f,f,34688.528377,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'4877'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'5498'  'tie_line'=>'0'  'country_1'=>'ME'  'country_2'=>'ME',"(19.27002, 42.366662)","(18.863525, 42.4802)",ME,ME,2145128.8139761975,5216062.860844599,2099877.9975661854,5233184.709193599
6562,4392,5399,220.0,1,f,f,f,47993.873154,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'4876'  't9_code'=>'381.2.1'  'visible'=>'1'  'objectid'=>'5496'  'tie_line'=>'1'  'country_1'=>'BA'  'country_2'=>'ME',"(18.391113, 42.70666)","(18.863525, 42.4802)",BA,ME,2047289.3342815537,5267428.559311412,2099877.9975661854,5233184.709193599
6564,5398,5401,220.0,1,f,f,f,72072.418909,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'4878'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'5499'  'tie_line'=>'0'  'country_1'=>'ME'  'country_2'=>'ME',"(19.27002, 42.366662)","(19.56665, 42.892064)",ME,ME,2145128.8139761975,5216062.860844599,2178149.514530206,5295557.291020474
8700,5398,5982,220.0,1,f,f,f,33503.716789,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'8131'  't9_code'=>'281.1.1'  'visible'=>'1'  'objectid'=>'7657'  'tie_line'=>'1'  'country_1'=>'AL'  'country_2'=>'ME',"(19.27002, 42.366662)","(19.500732, 42.163403)",AL,ME,2145128.8139761975,5216062.860844599,2170811.556336095,5185487.935155799
8705,5401,6656,220.0,1,f,f,f,52802.668174,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'8143'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'5499'  'tie_line'=>'0'  'country_1'=>'ME'  'country_2'=>'ME',"(19.56665, 42.892064)","(19.313965, 43.309191)",ME,ME,2178149.514530206,5295557.291020474,2150020.7489991076,5359152.91185395
6630,5402,6656,220.0,1,f,f,f,84328.543376,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'4944'  't9_code'=>'384.2.1'  'visible'=>'1'  'objectid'=>'5569'  'tie_line'=>'1'  'country_1'=>'ME'  'country_2'=>'RS',"(19.6875, 44.024422)","(19.313965, 43.309191)",ME,RS,2191602.4749925733,5469222.322225371,2150020.7489991076,5359152.91185395
6567,5405,6656,220.0,1,f,f,f,90482.107264,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'4881'  't9_code'=>'384.3.1'  'visible'=>'1'  'objectid'=>'5503'  'tie_line'=>'1'  'country_1'=>'ME'  'country_2'=>'RS',"(20.093994, 43.874138)","(19.313965, 43.309191)",ME,RS,2236853.180083094,5445985.363237986,2150020.7489991076,5359152.91185395
6565,6656,6682,220.0,1,f,f,f,38891.009178,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'4879'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'5500'  'tie_line'=>'0'  'country_1'=>'ME'  'country_2'=>'ME',"(19.313965, 43.309191)","(18.874512, 43.189158)",ME,ME,2150020.7489991076,5359152.91185395,2101101.0648115315,5340808.086673029
6566,6656,6682,220.0,1,f,f,f,38004.330154,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'4880'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'5501'  'tie_line'=>'0'  'country_1'=>'ME'  'country_2'=>'ME',"(19.313965, 43.309191)","(18.874512, 43.189158)",ME,ME,2150020.7489991076,5359152.91185395,2101101.0648115315,5340808.086673029
6595,4392,5400,380.0,1,f,f,f,81614.600483,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'4909'  't9_code'=>'381.1.1'  'visible'=>'1'  'objectid'=>'5533'  'tie_line'=>'1'  'country_1'=>'BA'  'country_2'=>'ME',"(18.391113, 42.70666)","(19.324951, 42.415346)",BA,ME,2047289.3342815537,5267428.559311412,2151243.704924963,5223400.747668269
