link_id,src_bus_id,dst_bus_id,voltage,circuits,dc,underground,under_construction,length_m,tags,src_coord,dst_coord,src_country,dst_country
4,1,2,380,1,f,f,f,77701.030928,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'450'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'464'  'tie_line'=>'0'  'country_1'=>'IQ'  'country_2'=>'IQ',"(43.7146, 36.129002)","(43.967285, 35.46067)",IQ,IQ
11875,3,4,380,1,f,f,f,119309.010354,,"(44.813232, 31.456782)","(43.967285, 32.184911)",,
11,4,5,380,2,f,f,f,59205.386857,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'457'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'471'  'tie_line'=>'0'  'country_1'=>'IQ'  'country_2'=>'IQ',"(43.967285, 32.184911)","(44.01123, 32.704111)",IQ,IQ
10,5,6,380,2,f,f,f,91727.865688,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'456'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'470'  'tie_line'=>'0'  'country_1'=>'IQ'  'country_2'=>'IQ',"(44.01123, 32.704111)","(44.439697, 33.449777)",IQ,IQ
8,6,8,380,1,f,f,f,30118.378222,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'454'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'468'  'tie_line'=>'0'  'country_1'=>'IQ'  'country_2'=>'IQ',"(44.439697, 33.449777)","(44.494629, 33.715202)",IQ,IQ
7,7,8,380,1,f,f,f,26997.853814,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'453'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'467'  'tie_line'=>'0'  'country_1'=>'IQ'  'country_2'=>'IQ',"(44.219971, 33.806538)","(44.494629, 33.715202)",IQ,IQ
6,7,9,380,1,f,f,f,19562.699136,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'452'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'466'  'tie_line'=>'0'  'country_1'=>'IQ'  'country_2'=>'IQ',"(44.219971, 33.806538)","(44.088135, 33.669497)",IQ,IQ
9,6,9,380,1,f,f,f,42833.623663,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'455'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'469'  'tie_line'=>'0'  'country_1'=>'IQ'  'country_2'=>'IQ',"(44.439697, 33.449777)","(44.088135, 33.669497)",IQ,IQ
16,3,10,380,1,f,f,f,115648.201433,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'462'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'476'  'tie_line'=>'0'  'country_1'=>'IQ'  'country_2'=>'IQ',"(44.813232, 31.456782)","(45.20874, 32.42634)",IQ,IQ
14,6,10,380,1,f,f,f,143142.850313,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'460'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'474'  'tie_line'=>'0'  'country_1'=>'IQ'  'country_2'=>'IQ',"(44.439697, 33.449777)","(45.20874, 32.42634)",IQ,IQ
17,11,12,300,1,f,f,f,106873.770162,'text_'=>' '  'symbol'=>'300-330 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2563'  't9_code'=>'1'  'visible'=>'1'  'objectid'=>'2772'  'tie_line'=>'1'  'country_1'=>'AZ'  'country_2'=>'RU',"(48.153076, 42.032974)","(48.88916, 41.211722)",AZ,RU
19,13,15,380,1,f,f,f,77606.62118,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'4026'  't9_code'=>'1'  'visible'=>'1'  'objectid'=>'4351'  'tie_line'=>'1'  'country_1'=>'IR'  'country_2'=>'TR',"(44.472656, 38.030786)","(43.725586, 37.848833)",IR,TR
20,16,18,132,1,f,f,f,85021.983295,'text_'=>' '  'symbol'=>'132-150 kV Transmission Line  1 Circuit'  'ogc_fid'=>'4027'  't9_code'=>'1'  'visible'=>'1'  'objectid'=>'4352'  'tie_line'=>'1'  'country_1'=>'IR'  'country_2'=>'TR',"(44.088135, 39.707187)","(44.813232, 39.172659)",IR,TR
